# rmin,xti,xdi,xte,xdz,xvt,xvp,xtiW20,xdiW20,xteW20,xtiDBM,xdiDBM,xteDBM,xteETG,xteMTM,xteETGM,xdiETGM,gmaW20ii,omgW20ii,gmaW20ie,omgW20ie,gmaW20ei,omgW20ei,gmaW20ee,omgW20ee,gmaDBM,omgDBM,gmaMTM,omgMTM,gmaETGM,omgETGM,dbsqprf
# m,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1
5.0106e-01,3.3460e+01,1.5400e+00,3.3680e+01,3.1190e+00,1.1190e+01,4.1350e+00,8.4630e+00,1.5400e+00,3.5780e+00,2.5000e+01,0.0000e+00,2.5000e+01,3.0130e+00,3.8240e-02,2.0520e+00,0.0000e+00,2.0830e+05,-3.4290e+05,2.6180e+04,2.5740e+05,1.4060e+05,-2.3890e+05,3.3780e+04,2.6310e+05,9.4190e+05,-3.4260e+05,4.4370e+04,9.2730e+04,3.2420e+05,2.7060e+05,2.2630e-10
5.0889e-01,4.0820e+01,6.7300e+00,4.1510e+01,8.4910e+00,1.8650e+01,9.7760e+00,1.5820e+01,5.3030e+00,7.3660e+00,2.5000e+01,0.0000e+00,2.5000e+01,7.7420e+00,1.3340e-01,1.2710e+00,1.4270e+00,2.7160e+05,-3.1490e+05,3.5300e+04,2.4780e+05,1.0380e+05,-2.0020e+05,5.5140e+04,2.6230e+05,1.4460e+06,-2.6530e+05,7.0560e+04,1.2110e+05,2.0970e+05,1.6740e+05,7.6560e-10
5.1635e-01,5.1640e+01,4.0040e+01,6.5180e+01,2.0870e+01,2.8990e+01,2.4070e+01,2.6640e+01,1.5040e+01,1.5380e+01,2.5000e+01,2.5000e+01,2.5000e+01,2.4420e+01,3.9070e-01,0.0000e+00,0.0000e+00,3.4070e+05,-2.4150e+05,4.8970e+04,2.3060e+05,8.4670e+04,-1.8270e+05,1.0680e+05,2.5500e+05,2.0070e+06,-2.8370e+05,8.7180e+04,1.5920e+05,1.4460e-01,1.0650e+06,2.1990e-09
5.2346e-01,4.9700e+01,6.3500e+01,1.3020e+02,3.2130e+01,3.9050e+01,3.9300e+01,2.4700e+01,3.8500e+01,3.1590e+01,2.5000e+01,2.5000e+01,2.5000e+01,7.2550e+01,1.1130e+00,0.0000e+00,0.0000e+00,6.0570e+04,-4.5740e+05,3.6740e+05,1.2750e+05,7.4950e+04,-1.5510e+05,3.2180e+05,2.5040e+05,2.6110e+06,-3.6770e+05,9.6490e+04,2.0720e+05,1.3920e+00,1.6540e+06,6.2520e-09
5.3020e-01,1.0820e+02,1.1040e+02,1.9840e+02,9.8860e+01,1.0890e+02,1.0910e+02,8.3170e+01,8.5390e+01,7.0640e+01,2.5000e+01,2.5000e+01,2.5000e+01,1.0000e+02,2.8040e+00,0.0000e+00,0.0000e+00,8.5000e+04,-2.9450e+05,6.3540e+05,1.3600e+05,9.1800e+04,-9.4600e+04,7.2320e+05,2.9150e+05,3.0570e+06,-5.6560e+05,8.3560e+04,2.0160e+05,4.5670e+00,1.9060e+06,1.6130e-08
5.3669e-01,1.2500e+02,1.3260e+02,2.1550e+02,1.3660e+02,1.4500e+02,1.4510e+02,1.0000e+02,1.0760e+02,8.4870e+01,2.5000e+01,2.5000e+01,2.5000e+01,1.0000e+02,5.6760e+00,0.0000e+00,0.0000e+00,1.6450e+04,-1.5990e+05,1.0330e+06,2.7470e+04,1.1090e+04,-1.7200e+05,1.0030e+06,1.7060e+05,3.3580e+06,-7.6480e+05,7.3150e+04,1.8750e+05,1.0470e+01,2.1560e+06,3.4450e-08
5.4314e-01,6.2920e+01,6.3060e+01,1.5180e+02,5.4210e+01,5.7420e+01,5.7550e+01,3.7920e+01,3.8060e+01,2.1400e+01,2.5000e+01,2.5000e+01,2.5000e+01,1.0000e+02,5.3880e+00,0.0000e+00,0.0000e+00,6.3950e+05,-2.2280e+04,1.2510e+03,1.5000e+05,9.8400e+05,-2.0770e+04,8.1750e+04,5.4580e+04,3.2200e+06,-8.4380e+05,7.2000e+04,1.7660e+05,1.3160e+01,2.0870e+06,3.5630e-08
5.4966e-01,5.1250e+01,5.7560e+01,1.5100e+02,4.1060e+01,3.2120e+01,4.3730e+01,2.6250e+01,3.2560e+01,2.0960e+01,2.5000e+01,2.5000e+01,2.5000e+01,1.0000e+02,5.0380e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.0230e+04,-8.9120e+04,5.3050e+05,1.4660e+05,2.9930e+06,-9.2750e+05,6.6800e+04,1.5450e+05,1.1150e+01,1.9080e+06,3.7290e-08
5.5577e-01,3.5910e+01,4.1270e+01,1.4110e+02,1.8400e+01,2.0000e+01,2.0090e+01,1.0910e+01,1.6270e+01,1.1320e+01,2.5000e+01,2.5000e+01,2.5000e+01,1.0000e+02,4.7490e+00,0.0000e+00,0.0000e+00,5.9170e+02,-7.5010e+03,4.5470e+05,2.4870e+05,3.8250e+04,-1.7400e+05,4.4060e+05,2.7800e+05,2.8000e+06,-1.0480e+06,5.4130e+04,1.2280e+05,8.2640e+00,1.7400e+06,3.9790e-08
5.5954e-01,3.1410e+01,3.4920e+01,1.3710e+02,1.0580e+01,1.1510e+01,1.1570e+01,6.4130e+00,9.9210e+00,7.4540e+00,2.5000e+01,2.5000e+01,2.5000e+01,1.0000e+02,4.6210e+00,0.0000e+00,0.0000e+00,6.9110e+03,-1.8750e+05,4.6240e+05,4.0360e+05,1.7180e+04,-2.1620e+05,4.3800e+05,4.1070e+05,2.6910e+06,-1.1610e+06,4.6870e+04,1.0250e+05,8.9310e+00,1.6610e+06,4.2470e-08
