# rmin,xti,xdi,xte,xdz,xvt,xvp,xtiW20,xdiW20,xteW20,xtiDBM,xdiDBM,xteDBM,xteETG,xteMTM,xteETGM,xdiETGM,gmaW20ii,omgW20ii,gmaW20ie,omgW20ie,gmaW20ei,omgW20ei,gmaW20ee,omgW20ee,gmaDBM,omgDBM,gmaMTM,omgMTM,gmaETGM,omgETGM,dbsqprf
# m,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1
1.5172e-01,3.1260e+00,3.9110e+00,5.6170e+00,-5.3400e+00,6.2720e+00,3.6640e+00,3.1260e+00,1.9150e+00,1.1150e-01,3.1100e-13,2.8510e-13,4.3180e-13,0.0000e+00,5.0610e-01,5.0000e+00,1.9960e+00,1.9900e+05,-6.0170e+05,1.5850e+03,3.9650e+05,1.4690e+03,-3.4270e+05,3.2760e+04,1.1590e+05,1.1730e+00,-7.4210e+05,4.2310e+04,6.9980e+04,3.7020e+05,2.1670e+05,7.9240e-09
1.6551e-01,4.5130e+00,4.6910e+00,5.9220e+00,-8.3190e+00,8.5080e+00,5.2710e+00,4.5130e+00,2.5500e+00,1.6720e-01,6.4200e-13,6.0190e-13,8.8700e-13,0.0000e+00,4.8600e-01,5.2690e+00,2.1410e+00,2.2630e+05,-6.1470e+05,5.6410e+03,3.9180e+05,1.2740e+04,-3.2930e+05,4.1300e+04,1.1710e+05,1.7140e+00,-7.2080e+05,4.8770e+04,7.8440e+04,3.8830e+05,2.2270e+05,7.4990e-09
1.7922e-01,5.6860e+00,5.1880e+00,6.1310e+00,-1.1750e+01,1.0170e+01,6.5990e+00,5.6860e+00,3.0500e+00,2.4540e-01,1.1230e-12,1.0880e-12,1.5420e-12,0.0000e+00,4.5290e-01,5.4330e+00,2.1380e+00,2.4710e+05,-6.3160e+05,9.4740e+03,3.8640e+05,1.9240e+04,-3.1670e+05,4.7890e+04,1.1780e+05,2.2880e+00,-6.9970e+05,5.5610e+04,8.7400e+04,4.0210e+05,2.2950e+05,6.8830e-09
1.9284e-01,6.3110e+00,5.3430e+00,6.2230e+00,-1.5380e+01,1.0790e+01,7.2930e+00,6.3110e+00,3.3440e+00,3.0860e-01,1.7920e-12,1.8080e-12,2.4400e-12,0.0000e+00,4.1370e-01,5.5010e+00,1.9980e+00,2.5890e+05,-6.5280e+05,1.2980e+04,3.8050e+05,2.3390e+04,-3.0520e+05,5.2540e+04,1.1770e+05,2.9020e+00,-6.7870e+05,6.2840e+04,9.6860e+04,4.1210e+05,2.3720e+05,6.1850e-09
2.0636e-01,6.2260e+00,5.1570e+00,6.1830e+00,-1.9120e+01,1.0240e+01,7.2170e+00,6.2260e+00,3.4030e+00,3.2400e-01,2.7140e-12,2.8620e-12,3.6600e-12,0.0000e+00,3.7160e-01,5.4870e+00,1.7540e+00,2.5980e+05,-6.7600e+05,1.6090e+04,3.7440e+05,2.6160e+04,-2.9450e+05,5.5190e+04,1.1680e+05,3.5690e+00,-6.5800e+05,7.0330e+04,1.0660e+05,4.1860e+05,2.4560e+05,5.4590e-09
2.1979e-01,5.4980e+00,4.6830e+00,6.0120e+00,-2.3380e+01,8.7400e+00,6.4710e+00,5.4980e+00,3.2470e+00,2.8060e-01,3.9930e-12,4.3930e-12,5.3270e-12,0.0000e+00,3.2910e-01,5.4020e+00,1.4360e+00,2.4950e+05,-6.9720e+05,1.8780e+04,3.6820e+05,2.8110e+04,-2.8390e+05,5.5850e+04,1.1510e+05,4.3070e+00,-6.3760e+05,7.7880e+04,1.1600e+05,4.2190e+05,2.5460e+05,4.7440e-09
2.3312e-01,4.3280e+00,3.9870e+00,5.7300e+00,-2.9980e+01,6.6740e+00,5.2880e+00,4.3280e+00,2.9260e+00,1.8880e-01,5.7610e-12,6.5870e-12,7.5950e-12,3.1190e-03,2.8680e-01,5.2510e+00,1.0610e+00,2.2820e+05,-7.1320e+05,2.1060e+04,3.6210e+05,3.0860e+04,-2.7320e+05,5.4690e+04,1.1260e+05,5.1220e+00,-6.1760e+05,8.5230e+04,1.2500e+05,4.2200e+05,2.6420e+05,4.0530e-09
2.4635e-01,3.0060e+00,3.1330e+00,5.4140e+00,-4.9950e+01,4.4810e+00,3.9680e+00,3.0060e+00,2.5100e+00,7.8750e-02,8.1320e-12,9.6600e-12,1.0620e-11,5.5520e-02,2.4650e-01,5.0330e+00,6.2300e-01,1.9750e+05,-7.2150e+05,2.2940e+04,3.5620e+05,3.4440e+04,-2.6440e+05,5.2010e+04,1.0910e+05,6.0030e+00,-5.9790e+05,9.2150e+04,1.3290e+05,4.1820e+05,2.7450e+05,3.4090e-09
2.5947e-01,1.7930e+00,1.4130e+00,7.6160e+00,7.9780e+01,2.5070e+00,1.2380e+00,1.7930e+00,1.3240e+00,2.5640e+00,1.1110e-11,1.3840e-11,1.4450e-11,1.0310e-01,2.0790e-01,4.7410e+00,8.8710e-02,1.6120e+05,-7.2140e+05,2.4380e+04,3.5060e+05,3.5820e+04,-2.6170e+05,4.8710e+04,3.6810e+05,6.8970e+00,-5.7810e+05,9.8350e+04,1.3930e+05,4.0960e+05,2.8620e+05,2.8100e-09
2.7249e-01,1.0240e+00,1.1700e+00,7.1300e+00,5.7900e+00,1.2840e+00,6.8060e-01,1.0240e+00,1.1700e+00,2.4450e+00,1.4430e-11,1.9370e-11,1.8890e-11,1.4730e-01,1.7040e-01,4.3670e+00,0.0000e+00,1.2510e+05,-7.1420e+05,2.5290e+04,3.4510e+05,3.7880e+04,-2.5550e+05,4.8880e+04,3.6180e+05,7.7050e+00,-5.5740e+05,1.0340e+05,1.4330e+05,3.9500e+05,3.0000e+05,2.2470e-09
